,tsato,suzuki,sun,to-taka,nakatake,horiguchi,zacky,miyashita,dong,uehara,okuda,kajiwara,kyochi,koga,msato,matunami,takashima
2015531001,4,4,4,4,4,2,3.1,4,1,2,3.1,4,4,4,4,4,1
2015531002,3.1,4,4,4,4,2,4,4,1,1,2,4,4,4,4,4,3.1
2015531003,1,4,4,3.1,4,2,4,4,4,4,2,4,4,3.1,4,4,1
2015531004,4,4,4,4,2,4,4,1,3.1,4,2,4,1,3.1,4,4,4
2015531005,4,4,4,3.1,2,1,4,4,4,4,1,4,4,4,4,2,3.1
2015531006,4,4,4,2,1,3.1,4,4,4,4,4,4,3.1,2,1,4,4
2015531007,2,4,4,1,3.1,4,4,4,4,4,4,3.1,4,4,2,1,4
2015531008,1,4,4,2,4,4,4,4,3.1,3.1,2,4,4,4,4,1,4
2015531009,4,4,4,1,3.1,4,4,4,2,2,1,4,4,4,4,3.1,4
2015531010,4,4,4,2,4,3.1,4,1,4,4,2,4,4,4,4,1,3.1
2015531011,4,4,4,2,4,4,1,3.1,4,4,4,3.1,4,2,4,1,4
2015531012,4,4,4,2,4,1,4,3.1,4,2,1,4,4,4,4,4,3.1
2015531013,4,4,4,4,4,1,3.1,4,2,4,3.1,4,1,4,4,2,4
2015531014,4,4,4,4,4,3.1,4,1,2,4,2,4,3.1,4,4,1,4
2015531015,3.1,4,4,1,2,4,4,4,4,4,1,3.1,4,4,4,4,2
2015531016,4,4,4,1,4,4,3.1,4,2,4,2,4,4,3.1,4,1,4
2015531017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015531018,4,4,4,2,4,4,1,4,3.1,1,4,4,4,4,3.1,2,4
2015531019,4,4,4,4,4,1,2,3.1,4,4,1,2,3.1,4,4,4,4
2015531020,2,4,4,4,3.1,4,4,4,1,2,3.1,4,4,4,4,1,4
2015531021,4,4,4,1,3.1,2,4,4,4,1,2,4,4,4,4,4,3.1
2015531022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015531023,4,4,4,2,4,1,4,4,3.1,3.1,1,4,4,4,4,4,2
2015531024,4,4,1,4,4,2,4,3.1,4,1,4,4,4,2,4,3.1,4
2015531025,4,4,4,1,2,3.1,4,4,4,2,4,4,4,4,4,1,3.1
2015531026,4,4,4,4,3.1,4,2,1,4,4,1,4,4,3.1,4,4,2
2015531027,4,4,4,2,3.1,1,4,4,4,1,2,3.1,4,4,4,4,4
2015531028,4,4,4,3.1,2,1,4,4,4,4,1,4,3.1,4,4,4,2
2015531029,2,3.1,4,4,4,4,4,4,1,4,1,4,4,4,2,4,3.1
2015531030,4,4,4,1,4,4,3.1,4,2,3.1,2,4,4,4,4,1,4
2015531031,4,4,4,2,4,4,1,4,3.1,3.1,1,4,4,4,4,2,4
2015531032,4,4,4,2,4,3.1,1,4,4,2,1,4,4,4,4,3.1,4
2015531033,4,4,4,2,4,1,4,4,3.1,1,2,3.1,4,4,4,4,4
2015531034,2,4,4,1,4,4,4,3.1,4,4,4,4,3.1,1,4,4,2
2015531035,4,4,4,4,4,3.1,1,4,2,3.1,2,4,4,4,4,1,4
2015531036,4,4,4,2,3.1,4,1,4,4,4,1,4,4,4,4,2,3.1
2015531037,3.1,4,4,4,4,2,1,4,4,4,2,4,4,1,4,4,3.1
2015531038,4,4,4,4,3.1,4,2,1,4,4,1,4,4,3.1,4,4,2
2015531039,4,4,4,2,1,4,4,4,3.1,3.1,2,4,4,4,4,1,4
2015531040,4,4,4,1,3.1,4,4,4,2,4,1,4,4,3.1,4,4,2
2015531041,4,3.1,4,1,4,4,4,4,2,4,4,3.1,4,2,4,1,4
2015531042,4,4,4,2,4,3.1,4,4,1,3.1,1,4,4,4,4,2,4
2015531043,4,4,4,2,4,3.1,4,4,1,3.1,1,4,4,4,4,2,4
2015531044,4,4,4,4,4,3.1,4,1,2,4,2,4,3.1,4,4,1,4
2015531045,3.1,4,4,2,4,4,4,4,1,1,3.1,4,4,4,4,4,2
2015531046,4,4,4,3.1,2,4,4,1,4,3.1,2,4,4,4,1,4,4
2015531047,4,4,4,2,4,1,4,4,3.1,1,2,3.1,4,4,4,4,4
2015531048,4,4,4,4,4,2,3.1,1,4,4,1,3.1,4,4,4,4,2
2015531049,4,4,4,1,4,3.1,4,4,2,1,4,4,4,4,4,2,3.1
2015531050,4,4,4,1,4,4,3.1,4,2,4,2,4,4,3.1,4,1,4
2015531051,4,4,4,3.1,4,4,1,4,2,2,4,4,4,4,4,1,3.1
2015531052,4,4,4,1,3.1,2,4,4,4,1,2,4,4,4,4,4,3.1
2015531053,4,4,4,2,1,4,4,3.1,4,4,4,1,3.1,2,4,4,4
2015531054,1,4,4,4,2,4,4,4,3.1,2,1,4,4,4,4,3.1,4
2015531055,4,4,4,1,2,4,3.1,4,4,3.1,2,4,4,4,4,1,4
2015531056,4,4,4,1,4,4,4,3.1,2,4,1,3.1,4,4,4,2,4
2015531057,4,4,3.1,4,4,1,4,4,2,1,3.1,4,4,4,4,4,2
2015531058,4,4,4,1,3.1,4,4,2,4,3.1,4,4,4,1,4,4,2
2015531059,4,4,4,1,3.1,4,4,4,2,1,2,4,4,4,4,4,3.1
2015531060,4,4,4,2,4,1,4,4,3.1,2,1,4,4,4,4,4,3.1
2015531061,4,4,3.1,1,2,4,4,4,4,3.1,4,4,4,4,4,1,2
2015531062,3.1,4,4,4,4,1,2,4,4,3.1,1,4,4,4,4,2,4
2015531063,4,4,4,1,3.1,2,4,4,4,4,1,4,3.1,4,4,4,2
